,name,혼자,액티비티,자연,힐링
59,서핑라이더 분당점,0.5421570360660553,0.7112454056739808,0.6630856037139893,0.6112000942230225
60,선두바다낚시터,0.4320709377527237,0.5843342125415802,0.5509731650352478,0.5095540553331375
61,선재바다낚시공원,0.5441481441259384,0.6466323256492614,0.6454254865646363,0.6380410522222519
62,섬진강 래프팅 투어,0.33236217498779297,0.30572253465652466,0.273792564868927,0.3422926664352417
63,세재골농원,0.4324455112218857,0.5077838063240051,0.5205443739891052,0.5686019480228424
64,소래바다낚시터,0.406935003068712,0.5028663674990336,0.519694877995385,0.6137205759684244
65,속초코마린요트공원,0.5806230306625366,0.713478970527649,0.6799477934837341,0.6388341009616851
66,솟골낚시터,0.2784162958463033,0.3389577269554138,0.336144616206487,0.40037230650583905
67,수상레저V,0.5439922451972962,0.7031759738922119,0.6559827864170075,0.6122788071632386
68,스타바다좌대낚시터,0.488911971449852,0.5918412581086159,0.5700076594948769,0.5758564211428165
69,신석스포렉스수영장,0.5608658790588379,0.6681819707155228,0.6587281733751297,0.6111618757247925
70,신암낚시터,0.4662782371044159,0.5374844700098038,0.5750280678272247,0.6556991547346115
71,신흥바다낚시공원,0.5490523934364319,0.6948969960212708,0.6636817693710327,0.5924423098564148
72,쌍방죽낚시터,0.37221561670303344,0.4116665482521057,0.42189871072769164,0.45691111087799074
73,아리수수상레저,0.5602841973304749,0.7100825130939483,0.6569223403930664,0.6220699906349182
74,양주유수풀파크&바베큐장,0.5002224504947662,0.6083366870880127,0.6131761252880097,0.5893638670444489
75,양촌성구랜드,0.27828994393348694,0.41312408447265625,0.3921247720718384,0.48758891224861145
76,어심바다낚시터,0.4723680138587952,0.5405128180980683,0.5662538409233093,0.578373059630394
77,에이알서프,0.5463533997535706,0.7019025683403015,0.6666929066181183,0.617636638879776
78,엠엘피서프(엠엘피서핑),0.519355508685112,0.7112026333808898,0.6506812632083893,0.6176918923854828
79,여수 아그리나 요트투어,0.5643971920013428,0.7031788945198059,0.6632575213909149,0.6135809063911438
80,여주시 수상센터,0.5146913528442383,0.6859614849090576,0.6445789337158203,0.607264518737793
81,역삼청소년수련관(실내수영장),0.44532452523708344,0.5257881581783295,0.5645729601383209,0.677502915263176
82,예당저수지(예당관광지),0.5471077412366867,0.6096283346414566,0.6284249946475029,0.6086717545986176
83,오동나무수상레저,0.4718773365020752,0.6257050633430481,0.5745604634284973,0.5450736284255981
84,오류내낚시터,0.753913402557373,0.6738619208335876,0.6864655017852783,0.7282716035842896
85,오목 낚시터(신창 오목 낚시터),0.422555406888326,0.5074937542279562,0.5114458501338959,0.5517035921414694
86,오션브리즈요트,0.5878283262252808,0.7274102747440339,0.6961885571479798,0.6419270098209381
87,오션차일드 발산센터,0.43496209681034087,0.5514293819665909,0.5497434109449386,0.5781629383563995
88,오태지,0.6106241941452026,0.6757288575172424,0.6422111988067627,0.5990921854972839
89,왕산요트경기장,0.30795537148203167,0.3957239730017526,0.3587467883314405,0.4234835760934012
90,용담바다낚시터,0.4595478743314743,0.5597299546003341,0.5640985935926437,0.6230124861001969
91,용인수상스키장,0.4123969733715057,0.4764925897121429,0.5022341430187225,0.49698111414909363
92,우금낚시공원,0.40628248878887724,0.514282056263515,0.5187109793935504,0.5917137307780129
93,울산중구도시관리공단수영장,0.6192046523094177,0.7115619122982025,0.7370723068714142,0.7074537873268127
94,위도바다낚시,0.4210507273674011,0.3823840022087097,0.4061354398727417,0.4475248157978058
95,유성호텔 실내수영장,0.28272154927253723,0.3422369956970215,0.31338173151016235,0.3960307240486145
96,음성용대리낚시터(용대리가든낚시터),0.6052633970975876,0.6913633048534393,0.6666862219572067,0.7004374563694
