,name,혼자,액티비티,자연,힐링
34,구룡포근대문화역사거리,0.6014676491419474,0.7141576011975607,0.725006103515625,0.7011916041374207
35,구름숲아토리,0.5908753097057342,0.7203527092933655,0.6830338537693024,0.6099456489086151
36,구이 안덕 건강힐링체험마을,0.5487949877977372,0.6845914334058761,0.656500780582428,0.6181231707334518
37,귤향기 감귤체험농장,0.5440100491046905,0.6915947794914246,0.6532620489597321,0.5963145792484283
38,근화동396청년창업공간,0.46989727318286895,0.5785493850708008,0.5572021335363389,0.5603986799716949
39,금곡영화마을,0.5331841111183167,0.6642115712165833,0.6731846332550049,0.6241517066955566
40,금산지구별그림책마을,0.46585498452186586,0.5873977065086364,0.5819506555795669,0.5528781622648239
41,금성전파사 새로고침센터,0.458131206035614,0.5754201889038086,0.570160448551178,0.563567042350769
42,금풀애마을,0.5395285288492838,0.6980397601922353,0.6595357656478882,0.5928612053394318
43,김원일의 마당깊은 집,0.2782902419567108,0.4131240248680115,0.3921250104904175,0.4875892996788025
44,김천 이화만리 마을,0.42937085032463074,0.5261129811406136,0.5221031755208969,0.5843179449439049
45,김해가야딸기테마파크,0.536712235212326,0.695618999004364,0.6540022134780884,0.6147996485233307
46,깡깡이 예술마을,0.5702642619609832,0.7202623188495636,0.6743717730045319,0.6114121437072754
47,꽃재체험농원,0.5820089727640152,0.6298149526119232,0.6780011504888535,0.7279567867517471
48,꿈뜨락몰,0.5285612434148789,0.6471081793308258,0.6263512074947357,0.6382152795791626
49,낙원동 포장마차거리,0.49161102175712584,0.5534525513648987,0.5554049432277679,0.5471967399120331
50,낙타트레킹,0.5484811753034592,0.7165388941764832,0.6727334320545196,0.5978045344352723
51,남원 화인당,0.516734567284584,0.6128358244895935,0.5988526821136475,0.6089727997779846
52,남해 항도어촌체험마을,0.48744997382164,0.6140939295291901,0.6213008165359497,0.5351276397705078
53,남해금천갯벌체험장,0.5575087904930115,0.6903701364994049,0.6644011378288269,0.6082327604293823
54,남해양떼목장 양마르뜨언덕,0.5868693798780441,0.7036540806293488,0.6898161470890045,0.6453983962535859
55,낭만농장 귤밭76번지,0.5679215908050537,0.7073344886302948,0.6714433014392853,0.62750746011734
56,내동마을 연꽃단지,0.25777575373649597,0.34125022093455,0.34733643134435016,0.353266437848409
57,내맘대로폰케이스 홍대점,0.519868016242981,0.6742208272218704,0.6450055569410325,0.6082013726234436
58,누구나투어,0.585950859955379,0.6841174023491996,0.6707501496587481,0.637515766280038
59,다대어촌체험 휴양마을,0.5856445580720901,0.7005890846252442,0.6916502892971039,0.633996993303299
60,다락해영어조합법인,0.49457529683907825,0.5412476857503256,0.5674932897090912,0.6231837769349416
61,다산딸기조합농원,0.5429673135280609,0.6864540755748749,0.6541298985481262,0.6162529766559601
62,닥밭골 벽화마을,0.49139382839202883,0.534917414188385,0.5421950817108154,0.5338936090469361
63,달달미깡감귤밭,0.546066677570343,0.6846168637275696,0.655885648727417,0.6081137418746948
64,달빛과쉬는시간,0.5906165540218353,0.7152644753456116,0.7012967050075531,0.6709282338619232
65,달오름마을,0.0,0.0,0.0,0.0
66,담다헌 체험교육관,0.5507937669754028,0.6351902186870575,0.6376200616359711,0.7059597373008728
67,담양추억의골목,0.5540512025356292,0.6880959928035736,0.6766237735748291,0.6114008665084839
68,답십리 영화의 거리,0.62846639752388,0.7241096198558807,0.778838723897934,0.7548267245292664
69,당머리하모거리,0.5408099234104157,0.7134920179843902,0.6591922760009765,0.6110568046569824
70,대가야기마문화체험장,0.5418630987405777,0.6628826856613159,0.6663264572620392,0.6614608585834503
71,대관령 주주파크,0.5729709029197693,0.7083921253681182,0.6790036082267761,0.6253037452697754
72,대관령알프스양떼목장,0.5832164287567139,0.7475950717926025,0.6900501251220703,0.660858690738678
73,대동벽화마을,0.43349023461341857,0.5737502783536911,0.5324000924825668,0.5608631908893585
74,대부도 흘곶 어촌체험 마을,0.5098522961139679,0.6382488906383514,0.6325562983751297,0.601967653632164
75,대야도어촌체험휴양마을,0.552438348531723,0.6909878849983215,0.6983139514923096,0.704630583524704
76,대포항 원조튀김골목,0.48469728231430054,0.6214140057563782,0.5906941890716553,0.5104336738586426
77,더 페이퍼랩,0.5308666795492172,0.664723151922226,0.6163349747657776,0.5698870480060577
78,도계유리마을,0.6240183651447296,0.7281246244907379,0.7410639524459839,0.7216203510761261
79,도련 감귤나무 숲,0.5364977717399597,0.6918824017047882,0.6617197632789612,0.6062361717224121
80,도시해녀,0.556750363111496,0.7153566360473633,0.6573318421840668,0.5902738034725189
81,도치돌 알파카목장,0.5787582516670227,0.7119293987751008,0.6852786421775818,0.6264839172363281
82,도치돌목장,0.5787582516670227,0.7119293987751008,0.6852786421775818,0.6264839172363281
83,독도전망대 케이블카,0.5329399615526199,0.6792296409606934,0.6386861145496369,0.5756279051303863
84,동대문 문구완구거리,0.4731710638318743,0.5226102471351624,0.5677267100129809,0.6540374670709882
85,동리단길카페거리,0.5426925420761108,0.6823199987411499,0.6750763952732086,0.6968702077865601
86,동명동 카페거리,0.3943520724773407,0.48994775414466857,0.45600323677062987,0.42283790111541747
87,동키스타즈,0.6017469108104706,0.7276932001113892,0.7006220042705535,0.6319337368011475
88,동탄중앙어울림센터,0.43939076364040375,0.511333367228508,0.5215900421142579,0.5822013258934021
89,두맹이골목,0.2999972105026245,0.4050742983818054,0.40619906783103943,0.3784453868865967
90,두억행복드림마을,0.7358086705207825,0.6522999405860901,0.7604913115501404,0.8008184432983398
91,둔덕시골농촌체험센터,0.5285240337252617,0.5531938895583153,0.5969790369272232,0.6609376519918442
92,땅끝모노레일,0.5724937349557877,0.711641263961792,0.6769859254360199,0.6201908469200135
93,락고재 컬쳐 라운지 애가헌,0.5721008598804473,0.7313688516616821,0.6744208693504333,0.6187308251857757
94,런닝맨 강릉점,0.5410091876983643,0.6892134130001069,0.6481507539749145,0.6033683300018311
95,레치키치 스튜디오,0.5527500361204147,0.6540934592485428,0.6168341368436814,0.5676019251346588
96,려우도예,0.492020258307457,0.6205812126398087,0.6044839799404145,0.5920444279909134
97,로렌스길,0.5698576152324677,0.6773145854473114,0.6658183753490448,0.6522858202457428
98,르꼬따쥬,0.6089444160461426,0.7015342473983764,0.6912945210933685,0.6471445441246033
99,리고엠,0.5103530913591385,0.6311318695545196,0.6053591549396515,0.577262419462204
100,리얼 이스케이프 챌린지,0.5314901858568192,0.6992524921894073,0.6348673641681671,0.5978395938873291
101,리얼월드 성수,0.5626369535923004,0.7248428761959076,0.6670824110507965,0.6163905978202819
102,리홀뮤직갤러리,0.58710295855999,0.6653295546770096,0.6545051515102387,0.641388663649559
103,마을여행사 청보리,0.5976904213428498,0.7121017277240753,0.7040392220020294,0.6452167272567749
104,만돌갯벌체험학습장,0.565435403585434,0.6948841989040375,0.684064531326294,0.6583981931209564
105,말문화체험관,0.42556770145893097,0.4814939647912979,0.5147082904974619,0.5644625475009283
106,말순농장,0.5631151288747788,0.7016200244426727,0.6847795307636261,0.6421283960342408
107,맑은물상상누리,0.5061845779418945,0.6398106813430786,0.5956070423126221,0.519495964050293
108,맘맘스,0.574722695350647,0.720503443479538,0.7142302930355072,0.6663236260414124
109,맛동산 감귤체험농장,0.5378603458404541,0.7016990900039672,0.6589252114295959,0.6054021716117859
110,매화둠벙마을,0.5610637068748474,0.6694581508636475,0.656522810459137,0.5608067512512207
111,맨발의청춘길,0.3159431517124176,0.44830572605133057,0.5210511684417725,0.47269484400749207
112,명량해상케이블카,0.5696120619773865,0.6962391376495362,0.6742755234241485,0.6074057400226593
113,모산목장,0.6144519150257111,0.7054713765780131,0.7138654589653015,0.6530932784080505
114,모시나라,0.575891426205635,0.6694260239601135,0.6914714515209198,0.6582581102848053
115,모아베리교육농장,0.5913249969482421,0.6996220648288727,0.7014101266860961,0.690181452035904
