,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
117,포세이돈마린레저,경상남도 남해군 삼동면 동부대로942번길 8-6,A03,A0303,A03030100,0,0,1,0,경상남도,남해군
118,플로우하우스 용인,경기도 용인시 기흥구 신고매로 124,A03,A0303,A03030100,0,1,1,0,경기도,용인시
119,핀스파크지천점,경상북도 칠곡군 지천면 지천로 393,A03,A0303,A03030100,0,0,1,0,경상북도,칠곡군
120,하늘바다낚시터,경기도 안산시 단원구 작은상재미길 99,A03,A0303,A03030600,0,0,1,0,경기도,안산시
121,학생문화센터 수영장,대구광역시 달서구 용산로 181,A03,A0303,A03030700,1,0,0,1,대구광역시,달서구
122,한강세븐수상레저,서울특별시 용산구 양녕로 496,A03,A0303,A03030100,0,0,0,0,서울특별시,용산구
123,한강시민공원삼패지구물놀이장,경기도 남양주시 삼패동,A03,A0303,A03030700,0,0,0,0,경기도,남양주시
124,함동수상레저타운,전라남도 장성군 삼계면 영장로 1758,A03,A0303,A03030100,0,0,1,0,전라남도,장성군
125,함평엑스포공원 물놀이장,전라남도 함평군 함평읍 곤재로 27,A03,A0303,A03030700,0,0,1,0,전라남도,함평군
126,현대요트 서울지점,서울특별시 서초구 동작대로 350 (반포동),A03,A0303,A03030300,0,0,1,0,서울특별시,서초구
127,현대요트 인천,인천광역시 중구 을왕동,A03,A0303,A03030300,1,0,1,0,인천광역시,중구
128,홍양저수지(빼뽀저수지),충청남도 홍성군 금마면 월암리 일대,A03,A0303,A03030500,0,0,0,0,충청남도,홍성군
129,화도낚시공원,경기도 남양주시 화도읍 경춘로2414번길 50-14,A03,A0303,A03030500,0,0,0,0,경기도,남양주시
130,화성해양아카데미연구회,경기도 화성시 서신면 전곡항로 5,A03,A0303,A03030800,0,0,0,0,경기도,화성시
131,히든밸리송추,경기도 양주시 장흥면 교현리,A03,A0303,A03030700,1,0,1,1,경기도,양주시
132,히트 실내 바다낚시터,경기도 김포시 양촌읍 황금로24번길 91-15,A03,A0303,A03030600,0,0,0,0,경기도,김포시
