,name,naverURL
32,강령전,"https://map.naver.com/p/search/%EA%B0%95%EB%A0%B9%EC%A0%84/?c=15.00,0,0,0,dh"
33,강릉 로뎀나무 펜션,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EB%A1%9C%EB%8E%80%EB%82%98%EB%AC%B4%20%ED%8E%9C%EC%85%98/place/21908564?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
34,강릉 부띠끄호텔 봄봄[한국관광 품질인증/Korea Quality],"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EB%B6%80%EB%9D%A0%EB%81%84%ED%98%B8%ED%85%94%20%EB%B4%84%EB%B4%84%5B%ED%95%9C%EA%B5%AD%EA%B4%80%EA%B4%91%20%ED%92%88%EC%A7%88%EC%9D%B8%EC%A6%9D%2FKorea%20Quality%5D/?c=15.00,0,0,0,dh"
35,강릉 스테이인옥,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%9D%B8%EC%98%A5/place/1939861642?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
36,강릉 지중해펜션,"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%20%EC%A7%80%EC%A4%91%ED%95%B4%ED%8E%9C%EC%85%98/place/1294834516?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
37,강릉ing게스트하우스[한국관광 품질인증/Korea Quality],"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89ing%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4%5B%ED%95%9C%EA%B5%AD%EA%B4%80%EA%B4%91%20%ED%92%88%EC%A7%88%EC%9D%B8%EC%A6%9D%2FKorea%20Quality%5D/?c=15.00,0,0,0,dh"
38,강릉게스트하우스 중앙점[한국관광 품질인증/Korea Quality],"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95%98%EC%9A%B0%EC%8A%A4%20%EC%A4%91%EC%95%99%EC%A0%90%5B%ED%95%9C%EA%B5%AD%EA%B4%80%EA%B4%91%20%ED%92%88%EC%A7%88%EC%9D%B8%EC%A6%9D%2FKorea%20Quality%5D/?c=15.00,0,0,0,dh"
39,강릉선교장[한국관광 품질인증/Korea Quality],"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%EC%84%A0%EA%B5%90%EC%9E%A5%5B%ED%95%9C%EA%B5%AD%EA%B4%80%EA%B4%91%20%ED%92%88%EC%A7%88%EC%9D%B8%EC%A6%9D%2FKorea%20Quality%5D/?c=15.00,0,0,0,dh"
40,강릉오죽한옥마을[한국관광 품질인증/Korea Quality],"https://map.naver.com/p/search/%EA%B0%95%EB%A6%89%EC%98%A4%EC%A3%BD%ED%95%9C%EC%98%A5%EB%A7%88%EC%9D%84%5B%ED%95%9C%EA%B5%AD%EA%B4%80%EA%B4%91%20%ED%92%88%EC%A7%88%EC%9D%B8%EC%A6%9D%2FKorea%20Quality%5D/?c=15.00,0,0,0,dh"
41,강변에서 황토콘도,"https://map.naver.com/p/search/%EA%B0%95%EB%B3%80%EC%97%90%EC%84%9C%20%ED%99%A9%ED%86%A0%EC%BD%98%EB%8F%84/place/11731222?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
42,강변의수채화 펜션,"https://map.naver.com/p/search/%EA%B0%95%EB%B3%80%EC%9D%98%EC%88%98%EC%B1%84%ED%99%94%20%ED%8E%9C%EC%85%98/place/12892986?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
43,강애산애펜션,"https://map.naver.com/p/search/%EA%B0%95%EC%95%A0%EC%82%B0%EC%95%A0%ED%8E%9C%EC%85%98/place/1738696677?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
44,강이 있는 풍경 (강이 있는 풍경 펜션),"https://map.naver.com/p/search/%EA%B0%95%EC%9D%B4%20%EC%9E%88%EB%8A%94%20%ED%92%8D%EA%B2%BD%20%28%EA%B0%95%EC%9D%B4%20%EC%9E%88%EB%8A%94%20%ED%92%8D%EA%B2%BD%20%ED%8E%9C%EC%85%98%29/place/11580000?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
45,강이흐르는마을 펜션,"https://map.naver.com/p/search/%EA%B0%95%EC%9D%B4%ED%9D%90%EB%A5%B4%EB%8A%94%EB%A7%88%EC%9D%84%20%ED%8E%9C%EC%85%98/place/10974523?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
46,강천각모텔,"https://map.naver.com/p/search/%EA%B0%95%EC%B2%9C%EA%B0%81%EB%AA%A8%ED%85%94/place/1061778092?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
47,강촌 느티나무마을펜션,"https://map.naver.com/p/search/%EA%B0%95%EC%B4%8C%20%EB%8A%90%ED%8B%B0%EB%82%98%EB%AC%B4%EB%A7%88%EC%9D%84%ED%8E%9C%EC%85%98/place/11589110?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
48,강촌w펜션,"https://map.naver.com/p/search/%EA%B0%95%EC%B4%8Cw%ED%8E%9C%EC%85%98/place/13371753?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
49,강촌잠빌펜션,"https://map.naver.com/p/search/%EA%B0%95%EC%B4%8C%EC%9E%A0%EB%B9%8C%ED%8E%9C%EC%85%98/?c=15.00,0,0,0,dh"
50,강현재[한국관광 품질인증/Korea Quality],"https://map.naver.com/p/search/%EA%B0%95%ED%98%84%EC%9E%AC%5B%ED%95%9C%EA%B5%AD%EA%B4%80%EA%B4%91%20%ED%92%88%EC%A7%88%EC%9D%B8%EC%A6%9D%2FKorea%20Quality%5D/?c=15.00,0,0,0,dh"
51,강화유스호스텔,"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%EC%9C%A0%EC%8A%A4%ED%98%B8%EC%8A%A4%ED%85%94/?c=10.00,0,0,0,dh"
52,강화평화빌리지,"https://map.naver.com/p/search/%EA%B0%95%ED%99%94%ED%8F%89%ED%99%94%EB%B9%8C%EB%A6%AC%EC%A7%80/place/586899304?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
53,개여울,"https://map.naver.com/p/search/%EA%B0%9C%EC%97%AC%EC%9A%B8/?c=15.00,0,0,0,dh"
54,개울가펜션,"https://map.naver.com/p/search/%EA%B0%9C%EC%9A%B8%EA%B0%80%ED%8E%9C%EC%85%98/?c=15.00,0,0,0,dh"
55,개울한옥민박,"https://map.naver.com/p/search/%EA%B0%9C%EC%9A%B8%ED%95%9C%EC%98%A5%EB%AF%BC%EB%B0%95/?c=15.00,0,0,0,dh"
56,객리당,"https://map.naver.com/p/search/%EA%B0%9D%EB%A6%AC%EB%8B%B9/place/1346067208?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
57,갤러리 마중(GALLERY MAJUNG),"https://map.naver.com/p/search/%EA%B0%A4%EB%9F%AC%EB%A6%AC%20%EB%A7%88%EC%A4%91%28GALLERY%20MAJUNG%29/?c=15.00,0,0,0,dh"
58,갤러리&펜션 풍경소리,"https://map.naver.com/p/search/%EA%B0%A4%EB%9F%AC%EB%A6%AC%26%ED%8E%9C%EC%85%98%20%ED%92%8D%EA%B2%BD%EC%86%8C%EB%A6%AC/place/953280772?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
59,갤러리하우스모텔,"https://map.naver.com/p/search/%EA%B0%A4%EB%9F%AC%EB%A6%AC%ED%95%98%EC%9A%B0%EC%8A%A4%EB%AA%A8%ED%85%94/?c=15.00,0,0,0,dh"
60,갤럭시 모텔,"https://map.naver.com/p/search/%EA%B0%A4%EB%9F%AD%EC%8B%9C%20%EB%AA%A8%ED%85%94/?c=15.00,0,0,0,dh"
61,갤럭시관광호텔,"https://map.naver.com/p/search/%EA%B0%A4%EB%9F%AD%EC%8B%9C%EA%B4%80%EA%B4%91%ED%98%B8%ED%85%94/?c=15.00,0,0,0,dh"
62,갤럭시호텔,"https://map.naver.com/p/search/%EA%B0%A4%EB%9F%AD%EC%8B%9C%ED%98%B8%ED%85%94/?c=15.00,0,0,0,dh"
63,갬성하우스,"https://map.naver.com/p/search/%EA%B0%AC%EC%84%B1%ED%95%98%EC%9A%B0%EC%8A%A4/place/1025874104?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
64,갯내음 펜션,"https://map.naver.com/p/search/%EA%B0%AF%EB%82%B4%EC%9D%8C%20%ED%8E%9C%EC%85%98/?c=15.00,0,0,0,dh"
65,갯바위펜션,"https://map.naver.com/p/search/%EA%B0%AF%EB%B0%94%EC%9C%84%ED%8E%9C%EC%85%98/?c=15.00,0,0,0,dh"
66,갯벌부흥펜션,"https://map.naver.com/p/search/%EA%B0%AF%EB%B2%8C%EB%B6%80%ED%9D%A5%ED%8E%9C%EC%85%98/place/17472048?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
67,거목장민박 [한국관광 품질인증/Korea Quality],"https://map.naver.com/p/search/%EA%B1%B0%EB%AA%A9%EC%9E%A5%EB%AF%BC%EB%B0%95%20%5B%ED%95%9C%EA%B5%AD%EA%B4%80%EA%B4%91%20%ED%92%88%EC%A7%88%EC%9D%B8%EC%A6%9D%2FKorea%20Quality%5D/?c=15.00,0,0,0,dh"
68,거제 썬트리팜리조트,"https://map.naver.com/p/search/%EA%B1%B0%EC%A0%9C%20%EC%8D%AC%ED%8A%B8%EB%A6%AC%ED%8C%9C%EB%A6%AC%EC%A1%B0%ED%8A%B8/place/1236702105?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
69,거제관광호텔,"https://map.naver.com/p/search/%EA%B1%B0%EC%A0%9C%EA%B4%80%EA%B4%91%ED%98%B8%ED%85%94/?c=10.00,0,0,0,dh"
70,거제더비치펜션,"https://map.naver.com/p/search/%EA%B1%B0%EC%A0%9C%EB%8D%94%EB%B9%84%EC%B9%98%ED%8E%9C%EC%85%98/?c=15.00,0,0,0,dh"
