,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
38,강원특별자치도 철원군 갈말읍 갈말로 358,,32,,A03,A0305,A03050100,131823,28,20050419090000,http://tong.visitkorea.or.kr/cms/resource/27/2492527_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/2492527_image2_1.JPG,Type3,127.3074424738,38.1854686392,6,20231011094445,12,,철원관광레저,24028
39,인천광역시 서구 청라동 106-2,,2,,A03,A0305,A03050100,2768196,28,20211104202159,,,,126.6358337811,37.5328909470,6,20231205171441,7,,청라호수공원피노키오놀이터,
40,강원특별자치도 철원군 갈말읍 드르니길 26,,32,,A03,A0305,A03050100,231994,28,20070918090000,http://tong.visitkorea.or.kr/cms/resource/03/1846503_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/1846503_image3_1.jpg,Type3,127.2985721041,38.1503281387,6,20231116162011,12,,카트조이,24035
41,강원특별자치도 철원군 동송읍 태봉로 1842-5,(동송읍),32,,A03,A0305,A03050100,561609,28,20080520185450,http://tong.visitkorea.or.kr/cms/resource/60/561660_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/561660_image2_1.jpg,Type3,127.2870914553,38.1890706207,6,20230701140716,12,,코리아레저캠프,24023
42,대구광역시 중구 진골목길 32,,4,,A03,A0305,A03050100,2994353,28,20230718144328,,,,128.5930545836,35.8688561820,6,20230721133142,8,053-285-8080,크레이지팡팡,41935
43,경기도 수원시 영통구 덕영대로 1566 (영통동),더판타지움 3층,31,,A03,A0305,A03050100,3071612,28,20231215164749,http://tong.visitkorea.or.kr/cms/resource/96/3071596_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/3071596_image3_1.jpg,Type3,127.0619141469,37.2451874572,6,20231215164808,13,,클라임바운스 수원점,16693
44,경상남도 통영시 발개로 205,,36,0,A03,A0305,A03050100,2633890,12,20191107221325,,,,128.4224005322,34.8247788846,6,20240422104800,17,,통영 어드벤처타워,53075
45,강원특별자치도 평창군 봉평면 태기로 174,,32,,A03,A0305,A03050100,1904623,28,20190614180013,http://tong.visitkorea.or.kr/cms/resource/80/2498580_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/80/2498580_image2_1.JPG,Type3,128.3196434257,37.5801079869,6,20230701132722,15,,평창 포레스트 어드벤처,25307
46,강원특별자치도 평창군 대관령면 수하리,240-144,32,,A03,A0305,A03050100,2998006,28,20230817102548,http://tong.visitkorea.or.kr/cms/resource/69/2997969_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2997969_image3_1.jpg,Type3,128.6835247300,37.6642524400,6,20230825134220,15,033-330-2837,평창군 스카이 타워 체험시설,25351
47,"제주특별자치도 서귀포시  중앙로 (105, 서귀포시청)",,39,,A03,A0305,A03050100,2806561,28,20220209155100,,,,126.5597977665,33.2539525361,6,20230127174818,3,,하영올레 3코스,63584
48,강원특별자치도 삼척시 도계읍 심포남길 99,,32,,A03,A0305,A03050100,1965276,28,20141117182815,http://tong.visitkorea.or.kr/cms/resource/90/1965290_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/90/1965290_image2_1.JPG,Type3,129.0385963575,37.1840035320,6,20231101104712,4,,하이원추추파크,25952
49,강원특별자치도 인제군 인제읍 내린천로 6211,,32,,A03,A0305,A03050100,131960,28,20070509090000,http://tong.visitkorea.or.kr/cms/resource/94/1846394_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/1846394_image3_1.jpg,Type3,128.2067618712,38.0431160103,6,20230802202814,10,,한백레저,24640
50,강원특별자치도 양양군 서면 구룡령로 2110-17,,32,,A03,A0305,A03050100,2710808,28,20210324184630,http://tong.visitkorea.or.kr/cms/resource/47/2745147_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2745147_image3_1.jpg,Type3,128.5324923352,37.9879397902,6,20230701135502,7,033-673-2233,해담마을 수륙양용차,25039
51,강원특별자치도 홍천군 두촌면 가리산길 426,,32,,A03,A0305,A03050100,2372816,28,20190614180011,http://tong.visitkorea.or.kr/cms/resource/18/2615118_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/18/2615118_image2_1.bmp,Type3,127.9811710711,37.8656906963,6,20230701141306,16,,홍천 가리산 레포츠파크,25164
52,경상남도 양산시 물금읍 범구로 14 (양산 유림노르웨이숲),,36,,A03,A0305,A03050100,3083311,28,20231205101419,http://tong.visitkorea.or.kr/cms/resource/96/3083296_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/3083296_image3_1.jpg,Type3,129.0131105190,35.3278888139,6,20240118120706,10,,히어로스포츠파크,50611
53,서울특별시 은평구 통일로 1050,(진관동),1,,A03,A0305,A03050100,2535964,28,20180212183243,http://tong.visitkorea.or.kr/cms/resource/54/2535954_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2535954_image2_1.jpg,Type3,126.9179134227,37.6375893423,6,20230726154652,22,1522-9562,scg스포츠아카데미,03306
