,name,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
197,사나비비엔다,제주특별자치도 서귀포시 보목포로 243,B02,B0201,B02010700,0,0,0,0,제주특별자치도,서귀포시
198,산동약수장,전라남도 구례군 산동면 지리산온천로 146,B02,B0201,B02010900,0,0,1,0,전라남도,구례군
199,산수유사랑채,경기도 이천시 백사면 원적로775번길 17,B02,B0201,B02011600,0,0,1,0,경기도,이천시
200,산악코스텔,강원특별자치도 인제군 기린면 내린천로 3924-72 (기린대아파트),B02,B0201,B02010600,0,0,0,0,강원특별자치도,인제군
201,삼일삼오,제주특별자치도 제주시 해맞이해안로 1542-4,B02,B0201,B02011000,1,0,0,1,제주특별자치도,제주시
202,삽교호 비치파크호텔,충청남도 당진시 신평면 삽교천2길 35,B02,B0201,B02010900,0,0,0,1,충청남도,당진시
203,샤이니호텔,제주특별자치도 제주시 구좌읍 송당4길 7,B02,B0201,B02010900,1,0,1,0,제주특별자치도,제주시
204,샹보르 관광호텔,전라남도 여수시 공화남2길 20,B02,B0201,B02010100,0,0,0,0,전라남도,여수시
205,서머셋 제주신화월드,제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,B02,B0201,B02010100,0,0,0,0,제주특별자치도,서귀포시
206,서울 선샤인호텔,서울특별시 강남구 도산대로 205,B02,B0201,B02010100,0,0,0,0,서울특별시,강남구
207,서울역 알게스트하우스,서울특별시 용산구 만리재로36길 16-7,B02,B0201,B02011100,0,0,0,0,서울특별시,용산구
208,서울투어리스트호텔,경기도 시흥시 군자천로 315,B02,B0201,B02010100,0,0,0,0,경기도,시흥시
209,서촌영락재,서울특별시 종로구 필운대로5가길 29,B02,B0201,B02011600,0,0,0,0,서울특별시,종로구
210,선성현문화단지한옥체험관,경상북도 안동시 도산면 선성5길 8,B02,B0201,B02011600,0,0,0,0,경상북도,안동시
211,세븐헤르츠 호텔,경기도 시흥시 중심상가로 202-10,B02,B0201,B02010900,0,0,0,0,경기도,시흥시
212,세심천온천호텔,충청남도 예산군 삽교읍 수암산로 210,B02,B0201,B02010900,0,0,1,1,충청남도,예산군
213,세잔느와갤러리,경기도 양평군 용문면 망능길 17,B02,B0201,B02010700,0,0,0,0,경기도,양평군
214,소르호텔,경기도 양평군 강하면 전수리,B02,B0201,B02010100,0,0,0,0,경기도,양평군
215,소테츠 프레사 인 서울 명동,서울특별시 중구 명동2가,B02,B0201,B02010900,0,0,1,1,서울특별시,중구
216,소테츠 호텔즈 더 스프라지르 서울 동대문,서울특별시 중구 장충단로 226 SOTETSU HOTELS THE SPLAISIR,B02,B0201,B02010100,0,0,0,0,서울특별시,중구
217,소테츠 호텔즈 더 스프라지르 서울 명동,서울특별시 중구 남대문로5길 15 (북창동),B02,B0201,B02010100,0,0,1,0,서울특별시,중구
218,솔바람풍경소리,제주특별자치도 서귀포시 남원읍 태수로143번길 132-37,B02,B0201,B02010700,0,0,0,0,제주특별자치도,서귀포시
219,솔밭해안가펜션,충청남도 보령시 남포면 용두욕장2길 24-22,B02,B0201,B02010700,1,0,1,1,충청남도,보령시
220,송림(팔공산송림한옥마을),경상북도 경산시 와촌면 갓바위로 67-7,B02,B0201,B02011600,0,0,1,1,경상북도,경산시
221,송이도마을,전라남도 영광군 낙월면 송이길 26,B02,B0201,B02011000,0,0,0,0,전라남도,영광군
222,송이모텔,강원특별자치도 양양군 강현면 일출로 34,B02,B0201,B02010900,0,0,1,0,강원특별자치도,양양군
223,송탄 메트로폴 관광호텔,경기도 평택시 관광특구로 24,B02,B0201,B02010100,0,0,1,0,경기도,평택시
224,수안보 조선 관광호텔,충청북도 충주시 수안보면 조산공원길 99,B02,B0201,B02010100,0,0,1,0,충청북도,충주시
225,수안보상록호텔,충청북도 충주시 수안보면 주정산로 22,B02,B0201,B02010100,1,0,0,0,충청북도,충주시
226,수하늘펜션,강원특별자치도 춘천시 남면 박암관천길 93-7,B02,B0201,B02010700,0,0,0,0,강원특별자치도,춘천시
227,숲속힐링이야기,강원특별자치도 인제군 북면 설악로 3216,B02,B0201,B02010700,0,0,0,1,강원특별자치도,인제군
228,쉐르마모텔,경기도 시흥시 평안상가4길 8-4,B02,B0201,B02010900,0,0,0,0,경기도,시흥시
229,슈바이처도르프호텔,충청남도 천안시 서북구 성정공원5로 42 (성정동),B02,B0201,B02010100,0,0,0,0,충청남도,천안시
230,스타비아호텔,경기도 김포시 태장로795번길 147,B02,B0201,B02010100,0,0,0,1,경기도,김포시
231,스탠포드 인 부산,부산광역시 중구 구덕로 53,B02,B0201,B02010100,0,0,1,0,부산광역시,중구
232,슬로비게스트하우스&카페,경상남도 통영시 산양읍 풍화일주로 1609-14,B02,B0201,B02011100,0,0,1,0,경상남도,통영시
233,승하빌,전북특별자치도 군산시 대학로 114-15,B02,B0201,B02011100,0,0,0,0,전북특별자치도,군산시
234,시운재,경상남도 밀양시 단장면 시전3길 12-10,B02,B0201,B02011000,1,0,1,1,경상남도,밀양시
235,신신호텔 제주오션,제주특별자치도 서귀포시 중앙로 14,B02,B0201,B02010100,0,0,1,0,제주특별자치도,서귀포시
236,싼타모관광호텔,광주광역시 광산구 사암로216번길 10-11,B02,B0201,B02010100,0,0,0,0,광주광역시,광산구
237,쌍암고택,경상북도 구미시 해평면 해평2길 40,B02,B0201,B02011600,0,0,0,1,경상북도,구미시
238,썬랜드 호텔,제주특별자치도 제주시 신광로 92,B02,B0201,B02010100,0,0,0,0,제주특별자치도,제주시
239,씨싸이드캐슬,충청남도 태안군 소원면 만리포1길 8,B02,B0201,B02010900,0,0,0,0,충청남도,태안군
240,씨에스 호텔&리조트,제주특별자치도 서귀포시 중문관광로 198,B02,B0201,B02010100,0,0,0,0,제주특별자치도,서귀포시
241,씨에스에비뉴호텔(CS AVENUE호텔),서울특별시 은평구 통일로 585-1 (응암동),B02,B0201,B02010100,0,0,0,0,서울특별시,은평구
242,아난티펜트하우스서울,경기도 가평군 설악면 유명로 1007-90,B02,B0201,B02010500,0,0,0,0,경기도,가평군
