,Unnamed: 0_x,name,혼자,액티비티,자연,힐링,Unnamed: 0_y,addr1,cat1,cat2,cat3,힐링_int,혼자_int,자연_int,액티비티_int,province,city
327,327,제이드리조텔,0.4706628829240799,0.5310034602880478,0.5500507712364197,0.5779177099466324,327,충청남도 태안군 근흥면 신진도길 69,B02,B0201,B02010900,1,0,1,0,충청남도,태안군
328,328,제이뷰호텔,0.4419698685407638,0.5675130605697631,0.5587201982736587,0.5558418184518814,328,제주특별자치도 서귀포시 중산간서로 935,B02,B0201,B02010900,0,0,0,0,제주특별자치도,서귀포시
329,329,제주 뉴오션리조트,0.504764324426651,0.6718552350997925,0.6381917178630829,0.6210217177867889,329,제주특별자치도 제주시 애월읍 고내로13길 59,B02,B0201,B02010700,0,0,1,0,제주특별자치도,제주시
330,330,제주 스카브로호텔,0.5060695797204972,0.6114039838314056,0.6221116542816162,0.657311761379242,330,제주특별자치도 서귀포시 예래해안로 15,B02,B0201,B02010100,0,0,0,0,제주특별자치도,서귀포시
331,331,제주 퍼시픽 호텔,0.538420306784766,0.6548435091972351,0.653910619871957,0.6637143322399685,331,제주특별자치도 제주시 서사로 20,B02,B0201,B02010100,0,0,1,0,제주특별자치도,제주시
332,332,제주 펄 관광호텔,0.4746895104646683,0.593689551949501,0.5904471337795257,0.6008816152811051,332,제주특별자치도 제주시 신대로20길 49,B02,B0201,B02010100,0,0,1,0,제주특별자치도,제주시
333,333,제주901,0.5706284523010254,0.6957191944122314,0.6649048209190369,0.611277437210083,333,제주특별자치도 제주시 1100로 2977-10,B02,B0201,B02011000,1,0,0,1,제주특별자치도,제주시
334,334,제주로얄호텔,0.5392536918322245,0.6762755811214447,0.6538315117359161,0.612342119216919,334,제주특별자치도 제주시 신대로12길 45,B02,B0201,B02010100,0,0,0,0,제주특별자치도,제주시
335,335,제주메이더호텔,0.5563256919384003,0.7064568400382996,0.6759019732475281,0.6208875596523284,335,제주특별자치도 제주시 구좌읍 일주동로 1626,B02,B0201,B02010100,1,0,1,0,제주특별자치도,제주시
336,336,"조선 팰리스 서울 강남, 럭셔리 컬렉션 호텔 (Josun Palace, a Luxury Collection Hotel, Seoul Gangnam)",0.5210663706064225,0.6334485352039337,0.5887063175439835,0.5399424880743027,336,서울특별시 강남구 테헤란로 231,B02,B0201,B02010100,0,0,0,1,서울특별시,강남구
337,337,차칸호텔,0.5707230031490326,0.6692534208297729,0.7082451224327088,0.7638542175292968,337,전북특별자치도 군산시 소룡1길 58,B02,B0201,B02010900,0,0,1,1,전북특별자치도,군산시
338,338,참샘산방펜션,0.4594380795955658,0.561413249373436,0.5645796626806259,0.6051584780216217,338,경상남도 함양군 마천면 백무동로 327,B02,B0201,B02010700,0,0,0,0,경상남도,함양군
339,339,채석강 리조트 유스호스텔,0.5284153044223785,0.6188504457473755,0.6399092674255371,0.6925165772438049,339,전북특별자치도 부안군 변산면 채석강길 19,B02,B0201,B02010600,0,0,0,0,전북특별자치도,부안군
340,340,채석리조텔오크빌,0.5086326897144318,0.6179012258847555,0.6282473868793912,0.6437692244847616,340,전북특별자치도 부안군 변산면 격포로 196,B02,B0201,B02010900,0,0,1,0,전북특별자치도,부안군
341,341,척산온천장,0.508224031329155,0.6136809945106506,0.6269894659519195,0.58742253780365,341,강원특별자치도 속초시 관광로 288,B02,B0201,B02010900,0,0,1,1,강원특별자치도,속초시
342,342,천안메트로관광호텔 ,0.5103468398253123,0.5781819025675455,0.6156674126784006,0.6843141317367554,342,충청남도 천안시 동남구 대흥로 241-11,B02,B0201,B02010100,0,0,0,0,충청남도,천안시
343,343,청벽비발디,0.5542688995599747,0.6260326385498047,0.6809615164995193,0.7600691169500351,343,세종특별자치시 장군면 금송로 161,B02,B0201,B02010700,0,0,1,0,세종특별자치시,장군면
344,344,청석골감로다원,0.43136927485466,0.5789507627487183,0.6007028222084045,0.610400915145874,344,경상남도 하동군 화개면 모암길 44-1,B02,B0201,B02011600,0,0,0,0,경상남도,하동군
