,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
18,경기도 용인시 처인구 모현읍 초부로 210,,31,,A03,A0304,A03040300,131918,28,20070410090000,http://tong.visitkorea.or.kr/cms/resource/61/1875461_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1875461_image3_1.jpg,Type3,127.2640077609,37.3145413928,6,20230828153908,23,,송골매(패러글라이딩 스쿨),17037
19,충청북도 충주시 단암길 19-1,,33,,A03,A0304,A03040100,2560460,28,20180913224224,http://tong.visitkorea.or.kr/cms/resource/67/3061867_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/67/3061867_image3_1.JPG,Type3,127.7431706629,37.1936002119,6,20240424175121,11,,스카이다이브코리아,27300
20,충청북도 단양군 단양읍 양방산길 350,,33,,A03,A0304,A03040300,2388350,28,20160615223912,http://tong.visitkorea.or.kr/cms/resource/10/2014010_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2014010_image3_1.jpg,Type3,128.3817753625,36.9683407791,,20230327133148,2,,양방산활공장,27024
21,경기도 양평군 옥천면 동막길 49,,31,,A03,A0304,A03040300,2585388,28,20190107194540,http://tong.visitkorea.or.kr/cms/resource/73/2585373_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/73/2585373_image2_1.bmp,Type3,127.4637465239,37.5594527538,6,20230610084125,19,,양평 미래항공스포츠,12505
22,전북특별자치도 완주군 구이면 덕천리,1479-1,37,,A03,A0304,A03040300,3011075,28,202401181743,http://tong.visitkorea.or.kr/cms/resource/59/3011059_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/59/3011059_image3_1.JPG,Type3,127.1306206427,35.7470105294,6,20240118174312,8,,에어 피닉스,55361
23,전라남도 담양군 담순로 156-46,,38,,A03,A0304,A03040200,2810934,28,20220316144151,http://tong.visitkorea.or.kr/cms/resource/47/2727747_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2727747_image3_1.jpg,Type3,127.0291761868,35.3415658754,6,20240103165133,7,,에어로마스터 담양,57305
24,경기도 화성시 송산면 삼존리 622-13,(송산면),31,,A03,A0304,A03040200,557269,28,20080507225616,http://tong.visitkorea.or.kr/cms/resource/35/1862635_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/1862635_image3_1.jpg,Type3,126.7735492417,37.2241097762,6,20230314113226,31,,에어로마스터 화성,18249
25,전라남도 여수시 망양로 225,,38,0,A03,A0304,A03040300,2720591,12,20210610195804,http://tong.visitkorea.or.kr/cms/resource/97/2720597_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2720597_image2_1.jpg,Type3,127.7446443211,34.7744614774,6,20230309142308,13,,여수국가대표패러글라이딩,59623
26,강원특별자치도 영월군 영월읍 제방안길 54,,32,,A03,A0304,A03040300,2744934,28,20210915023148,,,,128.4683919451,37.1800819599,6,20230701133252,8,,영월 패러글라이딩,26237
27,강원특별자치도 평창군 평창읍 여만리,산46,32,,A03,A0304,A03040300,131635,28,20030402090000,,,,128.4154239878,37.3839519101,6,20240115180635,15,,장암산 활공장,25372
