,addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
852,대구광역시 서구 당산로 343 (중리동),,4,,A02,A0202,A02020700,3058110,12,20231205103000,,,,128.5461393240,35.8670194144,6,20231205103053,6,,서구 그린웨이 상록수원,41842
853,제주특별자치도 서귀포시 산록남로 2271,(호근동),39,0,A02,A0202,A02020500,2660763,12,20200623194739,,,,126.5279135660,33.2919672797,6,20240325152445,3,,서귀포 치유의 숲,63576
854,제주특별자치도 서귀포시 남성중로 40,(서홍동),39,0,A02,A0202,A02020800,128838,12,20060320090000,http://tong.visitkorea.or.kr/cms/resource/82/1618782_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/1618782_image3_1.jpg,Type3,126.5584621032,33.2391930320,9,20230405092640,3,,서귀포유람선 뉴파라다이스호,63594
855,제주특별자치도 서귀포시 남성중로 40,,39,0,A02,A0202,A02020800,126665,12,20020927090000,,,,126.5587093030,33.2392291431,6,20231026212932,3,,서귀포잠수함,63594
856,서울특별시 서대문구 통일로 251,(현저동),1,0,A02,A0202,A02020700,128622,12,20050929090000,http://tong.visitkorea.or.kr/cms/resource/03/2413903_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2413903_image3_1.jpg,Type3,126.9556450402,37.5766554381,6,20230313132513,14,,서대문독립공원,03732
857,대전광역시 중구 계룡로904번길 30 (문화동),,3,,A02,A0202,A02020700,3080290,12,20231114135145,http://tong.visitkorea.or.kr/cms/resource/35/3063035_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/35/3063035_image3_1.JPG,Type3,127.4119386413,36.3209750271,6,20240110172530,5,,서대전공원,34955
858,전북특별자치도 익산시 금마면 고도9길 41-14,(금마면),37,0,A02,A0202,A02020700,1315472,12,20110624022528,http://tong.visitkorea.or.kr/cms/resource/68/3061468_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/3061468_image3_1.jpg,Type3,127.0574399549,36.0011775445,6,20240118112726,9,,서동공원,54572
859,충청남도 부여군 충화면 충신로 616,,34,0,A02,A0202,A02020600,251994,12,20051005090000,http://tong.visitkorea.or.kr/cms/resource/43/2366343_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2366343_image3_1.jpg,Type3,126.8236765152,36.1452959308,6,20231016135133,6,,서동요 테마파크,33213
860,서울특별시 서초구 서초동 1005-6,,1,0,A02,A0202,A02020700,2773409,12,20211111200206,http://tong.visitkorea.or.kr/cms/resource/28/2779928_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2779928_image2_1.jpg,Type3,127.0027210052,37.4890775675,6,20240424111519,15,,서리풀공원,
861,전북특별자치도 남원시 운봉읍 서천리 43,,37,0,A02,A0202,A02020700,2793207,12,20211213231359,http://tong.visitkorea.or.kr/cms/resource/23/2800823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2800823_image2_1.jpg,Type3,127.5305098432,35.4411827109,6,20240119133758,4,,서림공원,55718
862,서울특별시 양천구 남부순환로64길 20,,1,0,A02,A0202,A02020700,1265735,12,20110428003448,http://tong.visitkorea.or.kr/cms/resource/15/2611715_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/15/2611715_image2_1.bmp,Type3,126.8300634330,37.5274172505,6,20230610074909,19,,서서울호수공원,07916
863,서울특별시 중구 칠패로 5,(의주로2가),1,0,A02,A0202,A02020700,1605977,12,20120418203817,http://tong.visitkorea.or.kr/cms/resource/02/1569102_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/1569102_image3_1.jpg,Type3,126.9694692310,37.5607103171,6,20231210151518,24,,서소문역사공원,04510
864,경기도 수원시 권선구 고색동,904-30,31,,A02,A0202,A02020700,3075475,12,20231226175232,,,,126.9712139819,37.2473522548,6,20231226175246,13,,서수원체육공원,16650
865,경기도 김포시 통진읍 검암2로 55,,31,0,A02,A0202,A02020700,2768062,12,20211104183825,http://tong.visitkorea.or.kr/cms/resource/52/2773852_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/52/2773852_image2_1.png,Type3,126.5959326332,37.7045063700,6,20230130180141,8,,서암체육공원,10016
866,경기도 포천시 내촌면 내진로9번길 237,,31,0,A02,A0202,A02020700,125518,12,20031106090000,,,,127.2030169235,37.7709900784,6,20230905152859,29,,서운동산,11191
867,인천광역시 계양구 살라리로2번길 33,(서운동),2,0,A02,A0202,A02020700,2765497,12,20211102003039,http://tong.visitkorea.or.kr/cms/resource/17/2779017_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/17/2779017_image2_1.png,Type3,126.7454182055,37.5335011493,6,20230621150629,2,,서운체육공원,21072
868,서울특별시 용산구 효창원로 177-18,(효창동) 일대,1,0,A02,A0202,A02020700,127643,12,20030630090000,http://tong.visitkorea.or.kr/cms/resource/15/1568015_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/1568015_image3_1.jpg,Type3,126.9634757763,37.5450425860,6,20231206131858,21,,서울 효창공원,04311
869,서울특별시 중구 세종대로 110,,1,0,A02,A0202,A02020700,128968,12,20060517090000,,,,126.9780155330,37.5657098894,6,20231210122200,24,,서울광장,04524
870,경기도 과천시 대공원광장로 102,,31,0,A02,A0202,A02020600,126712,12,20031007090000,http://tong.visitkorea.or.kr/cms/resource/93/2678593_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2678593_image3_1.jpg,Type3,127.0171158655,37.4278904825,6,20230912143622,3,,서울대공원,13829
871,경기도 과천시 광명로 181,(막계동),31,0,A02,A0202,A02020600,126719,12,20031113090000,http://tong.visitkorea.or.kr/cms/resource/51/2601251_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/51/2601251_image2_1.bmp,Type3,127.0188988734,37.4336870644,6,20230919141441,3,,서울랜드,13829
872,서울특별시 중구 한강대로 405,,1,0,A02,A0202,A02020700,2495561,12,20170609195058,,,,126.9706609645,37.5545193912,6,20240325165348,24,,서울로 7017,04509
873,서울특별시 영등포구 여의동로 330,(여의도동),1,0,A02,A0202,A02020700,1369066,12,20110823230647,,,,126.9335762510,37.5263247807,6,20230214172720,20,,서울색공원,07337
874,서울특별시 성동구 뚝섬로 273,,1,0,A02,A0202,A02020700,128611,12,20050927090000,http://tong.visitkorea.or.kr/cms/resource/00/2611300_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/00/2611300_image2_1.bmp,Type3,127.0418131384,37.5431247707,6,20240417173453,16,02-460-2905,서울숲,04770
