,Unnamed: 0,name,naverURL,contains_review
92,92,경기전 연가,"https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EC%A0%84%20%EC%97%B0%EA%B0%80/place/1878422204?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
96,96,경주 교동한옥집,"https://map.naver.com/p/search/%EA%B2%BD%EC%A3%BC%20%EA%B5%90%EB%8F%99%ED%95%9C%EC%98%A5%EC%A7%91/place/1264952218?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
97,97,경주 아드리아 펜션,"https://map.naver.com/p/search/%EA%B2%BD%EC%A3%BC%20%EC%95%84%EB%93%9C%EB%A6%AC%EC%95%84%20%ED%8E%9C%EC%85%98/place/13087392?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
103,103,경주 황리단길 한옥 독채 풀빌라 무와,"https://map.naver.com/p/search/%EA%B2%BD%EC%A3%BC%20%ED%99%A9%EB%A6%AC%EB%8B%A8%EA%B8%B8%20%ED%95%9C%EC%98%A5%20%EB%8F%85%EC%B1%84%20%ED%92%80%EB%B9%8C%EB%9D%BC%20%EB%AC%B4%EC%99%80/place/1205290592?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
106,106,경주애견펜션 노비오스,"https://map.naver.com/p/search/%EA%B2%BD%EC%A3%BC%EC%95%A0%EA%B2%AC%ED%8E%9C%EC%85%98%20%EB%85%B8%EB%B9%84%EC%98%A4%EC%8A%A4/place/37704459?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
107,107,경주엔한옥펜션,"https://map.naver.com/p/search/%EA%B2%BD%EC%A3%BC%EC%97%94%ED%95%9C%EC%98%A5%ED%8E%9C%EC%85%98/place/230202602?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
113,113,경주햇살가득 애견펜션,"https://map.naver.com/p/search/%EA%B2%BD%EC%A3%BC%ED%96%87%EC%82%B4%EA%B0%80%EB%93%9D%20%EC%95%A0%EA%B2%AC%ED%8E%9C%EC%85%98/place/1097018691?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
114,114,경주황룡유스호스텔,"https://map.naver.com/p/search/%EA%B2%BD%EC%A3%BC%ED%99%A9%EB%A3%A1%EC%9C%A0%EC%8A%A4%ED%98%B8%EC%8A%A4%ED%85%94/place/12389833?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
115,115,경주후연지 한옥펜션(용장리 114-9)(경주 후연지한옥펜션),"https://map.naver.com/p/search/%EA%B2%BD%EC%A3%BC%ED%9B%84%EC%97%B0%EC%A7%80%20%ED%95%9C%EC%98%A5%ED%8E%9C%EC%85%98%28%EC%9A%A9%EC%9E%A5%EB%A6%AC%20114-9%29%28%EA%B2%BD%EC%A3%BC%20%ED%9B%84%EC%97%B0%EC%A7%80%ED%95%9C%EC%98%A5%ED%8E%9C%EC%85%98%29/place/37778976?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
121,121,경포우성펜션,"https://map.naver.com/p/search/%EA%B2%BD%ED%8F%AC%EC%9A%B0%EC%84%B1%ED%8E%9C%EC%85%98/place/11493620?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
122,122,경함정,"https://map.naver.com/p/search/%EA%B2%BD%ED%95%A8%EC%A0%95/place/1385732337?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
123,123,계곡과소나무 펜션,"https://map.naver.com/p/search/%EA%B3%84%EA%B3%A1%EA%B3%BC%EC%86%8C%EB%82%98%EB%AC%B4%20%ED%8E%9C%EC%85%98/place/1410276451?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
125,125,계룡산작은쉼터,"https://map.naver.com/p/search/%EA%B3%84%EB%A3%A1%EC%82%B0%EC%9E%91%EC%9D%80%EC%89%BC%ED%84%B0/place/37202774?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
127,127,계방산자연농원,"https://map.naver.com/p/search/%EA%B3%84%EB%B0%A9%EC%82%B0%EC%9E%90%EC%97%B0%EB%86%8D%EC%9B%90/place/21796429?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
128,128,계와고택,"https://map.naver.com/p/search/%EA%B3%84%EC%99%80%EA%B3%A0%ED%83%9D/place/1580070756?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
131,131,고기리 다온스테이,"https://map.naver.com/p/search/%EA%B3%A0%EA%B8%B0%EB%A6%AC%20%EB%8B%A4%EC%98%A8%EC%8A%A4%ED%85%8C%EC%9D%B4/place/1995640109?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
132,132,고다리조트,"https://map.naver.com/p/search/%EA%B3%A0%EB%8B%A4%EB%A6%AC%EC%A1%B0%ED%8A%B8/place/38502542?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
136,136,고망난돌민박,"https://map.naver.com/p/search/%EA%B3%A0%EB%A7%9D%EB%82%9C%EB%8F%8C%EB%AF%BC%EB%B0%95/place/21627312?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
137,137,고북밸리,"https://map.naver.com/p/search/%EA%B3%A0%EB%B6%81%EB%B0%B8%EB%A6%AC/place/17593492?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
138,138,고선재,"https://map.naver.com/p/search/%EA%B3%A0%EC%84%A0%EC%9E%AC/place/1007718274?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
140,140,고성이씨 탑동종택,"https://map.naver.com/p/search/%EA%B3%A0%EC%84%B1%EC%9D%B4%EC%94%A8%20%ED%83%91%EB%8F%99%EC%A2%85%ED%83%9D/place/12045226?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
141,141,고양국제청소년문화센터 유스센터,"https://map.naver.com/p/search/%EA%B3%A0%EC%96%91%EA%B5%AD%EC%A0%9C%EC%B2%AD%EC%86%8C%EB%85%84%EB%AC%B8%ED%99%94%EC%84%BC%ED%84%B0%20%EC%9C%A0%EC%8A%A4%EC%84%BC%ED%84%B0/place/1758866061?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
145,145,고집불통송가네,"https://map.naver.com/p/search/%EA%B3%A0%EC%A7%91%EB%B6%88%ED%86%B5%EC%86%A1%EA%B0%80%EB%84%A4/place/1433438441?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
146,146,고창 선운산 유스호스텔,"https://map.naver.com/p/search/%EA%B3%A0%EC%B0%BD%20%EC%84%A0%EC%9A%B4%EC%82%B0%20%EC%9C%A0%EC%8A%A4%ED%98%B8%EC%8A%A4%ED%85%94/place/11660024?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
156,156,고현당,"https://map.naver.com/p/search/%EA%B3%A0%ED%98%84%EB%8B%B9/place/37321927?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
159,159,곡전재,"https://map.naver.com/p/search/%EA%B3%A1%EC%A0%84%EC%9E%AC/place/11823127?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
162,162,골든리버호텔,"https://map.naver.com/p/search/%EA%B3%A8%EB%93%A0%EB%A6%AC%EB%B2%84%ED%98%B8%ED%85%94/place/1260303763?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
164,164,골든서울호텔,"https://map.naver.com/p/search/%EA%B3%A8%EB%93%A0%EC%84%9C%EC%9A%B8%ED%98%B8%ED%85%94/place/33279890?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
167,167,골든튤립에버 용인호텔,"https://map.naver.com/p/search/%EA%B3%A8%EB%93%A0%ED%8A%A4%EB%A6%BD%EC%97%90%EB%B2%84%20%EC%9A%A9%EC%9D%B8%ED%98%B8%ED%85%94/place/1719641564?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true",True
